iter	Passed	Remaining
274	409	1080
275	410	1077
276	411	1073
277	412	1070
278	413	1067
279	413	1064
280	414	1060
281	416	1061
282	417	1058
283	418	1055
284	419	1052
285	420	1049
286	421	1046
287	422	1043
288	422	1040
289	423	1037
290	424	1034
291	425	1031
292	426	1028
293	427	1025
294	427	1022
295	428	1019
296	429	1017
297	430	1014
298	431	1011
299	432	1009
300	433	1006
301	434	1003
302	434	1000
303	435	997
304	436	994
305	437	991
306	437	988
307	438	985
308	439	983
309	440	980
310	441	977
311	441	974
312	442	971
313	445	973
314	446	971
315	447	968
316	448	966
317	449	963
318	450	960
319	450	958
320	451	955
321	452	952
322	453	950
323	454	947
324	455	945
325	456	942
326	456	940
327	460	944
328	463	944
329	464	942
330	465	941
331	466	939
332	467	936
333	468	934
334	469	931
335	470	929
336	471	926
337	472	924
338	487	951
339	489	949
340	490	948
341	491	946
342	493	944
343	494	942
344	495	940
345	496	938
346	497	937
347	498	934
348	499	931
349	500	929
350	501	926
351	501	923
352	502	921
353	505	922
354	506	919
355	506	917
356	507	914
357	509	914
358	510	912
359	511	909
360	512	906
361	513	904
362	513	901
363	514	899
364	515	896
365	516	894
366	516	891
367	520	893
368	520	890
369	521	888
370	522	886
371	523	884
372	524	881
373	525	879
374	526	877
375	527	875
376	528	873
377	529	871
378	530	869
379	531	866
380	532	864
381	534	864
382	535	862
383	536	860
384	537	858
385	538	856
386	539	854
387	539	851
388	540	849
389	541	846
390	542	844
391	543	842
392	543	839
393	544	837
394	545	835
395	546	832
396	548	833
397	549	831
398	550	829
399	551	827
400	552	825
401	553	823
402	554	820
403	554	818
404	555	816
405	556	814
406	557	811
407	557	809
408	558	807
409	559	805
410	560	803
411	561	800
412	562	799
413	563	798
414	565	796
415	566	795
416	567	792
417	567	790
418	568	788
419	569	786
420	570	784
421	571	782
422	571	780
423	572	778
424	573	776
425	574	774
426	575	772
427	576	771
428	577	769
429	578	767
430	579	765
431	580	763
432	582	762
433	583	761
434	584	759
435	585	757
436	586	756
437	587	754
438	588	752
439	589	750
440	590	748
441	591	746
442	592	744
443	593	743
444	594	741
445	595	739
446	596	737
447	597	735
448	597	733
449	598	731
450	599	729
451	600	727
452	601	726
453	601	723
454	602	721
455	603	720
456	604	718
457	605	716
458	607	715
459	607	713
460	608	711
461	609	709
462	610	707
463	611	705
464	611	704
465	612	702
466	613	700
467	614	698
468	615	696
469	615	694
470	616	692
471	617	690
472	618	689
473	621	689
474	622	687
475	622	685
476	623	684
477	624	682
478	625	680
479	626	678
